num_fam,nb_members,sum_quanti,sum_quali,nb_0,nb_mono,nb_multi,sum_0_mono_multi,max_multi
261,112,112,112,0,112,0,112,1
262,79,79,79,33,79,0,112,1
263,96,96,96,16,96,0,112,1
264,96,96,96,16,96,0,112,1
265,1,1,1,111,1,0,112,1
266,112,112,112,0,112,0,112,1
267,112,112,112,0,112,0,112,1
268,112,112,112,0,112,0,112,1
269,112,112,112,0,112,0,112,1
270,111,111,111,1,111,0,112,1
271,112,112,112,0,112,0,112,1
272,112,112,112,0,112,0,112,1
273,100,100,100,12,100,0,112,1
274,111,111,111,1,111,0,112,1
275,1,1,1,111,1,0,112,1
276,112,112,112,0,112,0,112,1
277,112,112,112,0,112,0,112,1
278,109,109,109,3,109,0,112,1
279,112,112,112,0,112,0,112,1
280,111,111,111,1,111,0,112,1
281,112,112,112,0,112,0,112,1
282,112,112,112,0,112,0,112,1
283,112,112,112,0,112,0,112,1
284,119,119,112,0,105,7,112,2
285,1,1,1,111,1,0,112,1
286,112,112,112,0,112,0,112,1
287,112,112,112,0,112,0,112,1
288,112,112,112,0,112,0,112,1
289,112,112,112,0,112,0,112,1
290,82,82,82,30,82,0,112,1
291,112,112,112,0,112,0,112,1
292,112,112,112,0,112,0,112,1
293,111,111,111,1,111,0,112,1
294,112,112,112,0,112,0,112,1
295,81,81,81,31,81,0,112,1
296,112,112,112,0,112,0,112,1
297,2,2,2,110,2,0,112,1
298,112,112,112,0,112,0,112,1
299,109,109,109,3,109,0,112,1
300,112,112,112,0,112,0,112,1
301,112,112,112,0,112,0,112,1
302,112,112,112,0,112,0,112,1
303,112,112,112,0,112,0,112,1
304,112,112,112,0,112,0,112,1
305,112,112,112,0,112,0,112,1
306,112,112,112,0,112,0,112,1
307,107,107,107,5,107,0,112,1
308,112,112,112,0,112,0,112,1
309,111,111,111,1,111,0,112,1
310,112,112,112,0,112,0,112,1
311,112,112,112,0,112,0,112,1
312,108,108,108,4,108,0,112,1
313,100,100,100,12,100,0,112,1
314,81,81,81,31,81,0,112,1
315,81,81,81,31,81,0,112,1
316,99,99,97,15,95,2,112,2
317,110,110,110,2,110,0,112,1
318,108,108,108,4,108,0,112,1
319,108,108,108,4,108,0,112,1
320,5,5,5,107,5,0,112,1
321,112,112,112,0,112,0,112,1
322,112,112,112,0,112,0,112,1
323,106,106,106,6,106,0,112,1
324,111,111,111,1,111,0,112,1
325,81,81,81,31,81,0,112,1
326,112,112,112,0,112,0,112,1
327,112,112,112,0,112,0,112,1
328,112,112,112,0,112,0,112,1
329,109,109,109,3,109,0,112,1
330,107,107,107,5,107,0,112,1
331,81,81,81,31,81,0,112,1
332,112,112,112,0,112,0,112,1
333,111,111,111,1,111,0,112,1
334,112,112,112,0,112,0,112,1
335,75,75,75,37,75,0,112,1
336,110,110,110,2,110,0,112,1
337,111,111,111,1,111,0,112,1
338,1,1,1,111,1,0,112,1
339,112,112,112,0,112,0,112,1
340,112,112,112,0,112,0,112,1
341,80,80,80,32,80,0,112,1
342,12,12,12,100,12,0,112,1
343,12,12,12,100,12,0,112,1
344,80,80,80,32,80,0,112,1
345,111,111,111,1,111,0,112,1
346,111,111,111,1,111,0,112,1
347,112,112,112,0,112,0,112,1
348,155,155,107,5,59,48,112,2
349,112,112,112,0,112,0,112,1
350,81,81,81,31,81,0,112,1
351,1,1,1,111,1,0,112,1
352,110,110,110,2,110,0,112,1
353,95,95,95,17,95,0,112,1
354,112,112,112,0,112,0,112,1
355,79,79,79,33,79,0,112,1
356,79,79,79,33,79,0,112,1
357,80,80,80,32,80,0,112,1
358,112,112,111,1,110,1,112,2
359,113,113,112,0,111,1,112,2
360,112,112,112,0,112,0,112,1
361,112,112,112,0,112,0,112,1
362,110,110,109,3,108,1,112,2
363,110,110,110,2,110,0,112,1
364,110,110,110,2,110,0,112,1
365,81,81,81,31,81,0,112,1
366,106,106,106,6,106,0,112,1
367,81,81,81,31,81,0,112,1
368,31,31,31,81,31,0,112,1
369,111,111,111,1,111,0,112,1
370,111,111,111,1,111,0,112,1
371,112,112,112,0,112,0,112,1
372,112,112,112,0,112,0,112,1
373,112,112,112,0,112,0,112,1
374,112,112,112,0,112,0,112,1
375,112,112,112,0,112,0,112,1
376,111,111,111,1,111,0,112,1
377,112,112,112,0,112,0,112,1
378,104,104,104,8,104,0,112,1
379,120,120,112,0,105,7,112,3
380,1,1,1,111,1,0,112,1
381,120,120,112,0,105,7,112,3
382,1,1,1,111,1,0,112,1
383,112,112,112,0,112,0,112,1
384,112,112,112,0,112,0,112,1
385,110,110,110,2,110,0,112,1
386,112,112,112,0,112,0,112,1
387,31,31,31,81,31,0,112,1
388,112,112,112,0,112,0,112,1
389,114,114,112,0,110,2,112,2
390,31,31,31,81,31,0,112,1
391,112,112,112,0,112,0,112,1
392,112,112,112,0,112,0,112,1
393,110,110,110,2,110,0,112,1
394,112,112,112,0,112,0,112,1
395,112,112,112,0,112,0,112,1
396,111,111,111,1,111,0,112,1
397,112,112,112,0,112,0,112,1
398,112,112,112,0,112,0,112,1
399,112,112,112,0,112,0,112,1
400,114,114,111,1,110,1,112,4
401,1,1,1,111,1,0,112,1
402,112,112,112,0,112,0,112,1
403,112,112,112,0,112,0,112,1
404,112,112,112,0,112,0,112,1
405,112,112,112,0,112,0,112,1
406,111,111,111,1,111,0,112,1
407,112,112,112,0,112,0,112,1
408,224,224,110,2,29,81,112,4
409,80,80,80,32,80,0,112,1
410,112,112,112,0,112,0,112,1
411,112,112,112,0,112,0,112,1
412,31,31,31,81,31,0,112,1
413,98,98,98,14,98,0,112,1
414,104,104,104,8,104,0,112,1
415,112,112,112,0,112,0,112,1
416,110,110,110,2,110,0,112,1
417,111,111,111,1,111,0,112,1
418,109,109,109,3,109,0,112,1
419,112,112,112,0,112,0,112,1
420,112,112,112,0,112,0,112,1
421,112,112,112,0,112,0,112,1
422,112,112,112,0,112,0,112,1
423,112,112,112,0,112,0,112,1
424,111,111,111,1,111,0,112,1
425,107,107,107,5,107,0,112,1
426,112,112,112,0,112,0,112,1
427,32,32,30,82,29,1,112,3
428,11,11,11,101,11,0,112,1
429,112,112,112,0,112,0,112,1
430,110,110,110,2,110,0,112,1
431,112,112,112,0,112,0,112,1
432,111,111,111,1,111,0,112,1
433,112,112,112,0,112,0,112,1
434,112,112,112,0,112,0,112,1
435,110,110,110,2,110,0,112,1
436,119,119,112,0,107,5,112,3
