strain,contig_id,old,new
BUMA.1121.00059,1_NZ_CP033701.1,1,2
BUMA.1121.00060,1_NZ_CP008780.1,1,1
BUMA.1121.00060,2_NZ_CP008779.1,2,2
BUMA.1121.00061,1_NZ_CP036452.1,1,1
BUMA.1121.00061,2_NZ_CP036451.1,2,2
BUMA.1121.00062,1_NZ_CP009585.1,1,1
BUMA.1121.00062,2_NZ_CP009586.1,2,2
BUMA.1121.00063,1_NZ_CP036454.1,1,1
BUMA.1121.00063,2_NZ_CP036453.1,2,2
BUMA.1121.00064,1_NZ_CP010973.1,1,1
BUMA.1121.00064,2_NZ_CP010974.1,2,2
BUMA.1121.00065,1_NZ_CP012515.1,1,1
BUMA.1121.00065,2_NZ_CP012516.1,2,2
BUMA.1121.00066,1_NZ_CP037758.1,1,1
BUMA.1121.00066,2_NZ_CP037757.1,2,2
BUMA.1121.00067,1_NZ_CP012576.1,1,1
BUMA.1121.00067,2_NZ_CP012577.1,2,2
BUMA.1121.00068,1_NZ_CP012041.1,1,1
BUMA.1121.00068,2_NZ_CP012042.1,2,2
BUMA.1121.00069,1_NZ_CP037760.1,1,1
BUMA.1121.00069,2_NZ_CP037759.1,2,2
BUMA.1121.00070,1_NZ_CP037974.1,1,1
BUMA.1121.00070,2_NZ_CP037973.1,2,2
BUMA.1121.00071,1_NZ_CP037970.1,1,1
BUMA.1121.00071,2_NZ_CP037969.1,2,2
BUMA.1121.00072,1_NZ_CP037976.1,1,1
BUMA.1121.00072,2_NZ_CP037975.1,2,2
BUMA.1121.00073,1_NZ_CP038195.1,1,1
BUMA.1121.00073,2_NZ_CP038194.1,2,2
BUMA.1121.00074,1_NZ_CP038805.1,1,1
BUMA.1121.00074,2_NZ_CP038806.1,2,2
BUMA.1121.00075,1_NZ_CP038216.1,1,1
BUMA.1121.00075,2_NZ_CP038217.1,2,2
BUMA.1121.00076,1_NZ_CP038226.1,1,1
BUMA.1121.00076,2_NZ_CP038227.1,2,2
BUMA.1121.00077,1_NZ_CP046584.1,1,1
