Seq_id	Size	Description
126	+	2010157	2020034	9877
128	-	2343825	2334054	9771
130	+	3449906	3459716	9810
132	+	2816301	2826139	9838
134	-	3668805	3659029	9776
135	-	1304911	1295123	9788
137	-	627495	617745	9750
142	+	1551930	1561780	9850
145	-	3635195	3625393	9802
147	-	1739800	1729948	9852
149	+	1442510	1452414	9904
151	+	3096427	3106272	9845
152	-	3052669	3042858	9811
155	+	2691114	2700970	9856
156	-	2539280	2529302	9978
165	-	2901586	2891811	9775
167	-	3230253	3220481	9772
169	-	2937881	2928146	9735
170	+	1443217	1453052	9835
171	+	2717058	2726914	9856
172	+	2720265	2730121	9856
175	+	634659	644497	9838
176	-	627564	617814	9750
177	-	1085297	1075459	9838
178	-	1784055	1774294	9761
182	-	3527906	3518153	9753
183	+	2691359	2701215	9856
185	+	2273122	2283104	9982
187	+	4089885	4099768	9883
189	+	2718450	2728306	9856
190	+	2966624	2976441	9817
192	+	2693931	2703787	9856
196	+	2722867	2732757	9890
197	+	2413247	2423085	9838
198	+	2966694	2976511	9817
202	-	61447	51658	9789
204	-	2144835	2135085	9750
205	+	2877693	2887549	9856
206	-	4139737	4129947	9790
210	-	2884686	2874905	9781
211	+	2982891	2992708	9817
212	+	3893018	3902895	9877
214	+	3373592	3383455	9863
216	+	2921120	2931003	9883
217	+	894340	904300	9960
220	+	3011683	3021500	9817
220	+	3061739	3071556	9817
220	+	3111795	3121616	9821
222	+	1485384	1495337	9953
223	-	2593903	2584108	9795
224	-	627494	617744	9750
--------------------------------------------------------------------------------
Block #334
Seq_id	Strand	Start	End	Length
8	+	902951	916447	13496
11	-	4055458	4041950	13508
12	+	3361448	3374956	13508
13	+	1081659	1095179	13520
17	+	950438	963946	13508
18	+	3049865	3063159	13294
20	-	1100131	1086841	13290
21	+	1079548	1092842	13294
25	-	2820649	2807150	13499
26	+	3024070	3037364	13294
30	+	1250027	1263515	13488
34	-	3152601	3139102	13499
35	+	2522431	2535918	13487
36	-	2059202	2045703	13499
37	-	2488466	2474967	13499
40	+	1698883	1712173	13290
41	-	1020226	1006736	13490
42	-	517609	504115	13494
43	+	3496513	3509807	13294
44	-	1167634	1154137	13497
45	+	3605919	3619409	13490
47	+	2502958	2516468	13510
51	-	2137151	2123857	13294
53	+	3915532	3929040	13508
56	+	3800578	3814073	13495
57	+	3012464	3025758	13294
58	+	2746935	2760431	13496
60	-	2532185	2518686	13499
63	+	2931928	2945448	13520
65	+	2717972	2731468	13496
67	+	3128338	3141849	13511
68	-	2208594	2195086	13508
70	+	1515303	1528811	13508
71	-	1617987	1604697	13290
74	+	2846912	2860420	13508
75	-	2136141	2122847	13294
76	+	1364285	1377794	13509
77	+	2761730	2775226	13496
78	+	2796133	2809629	13496
79	-	1302035	1288539	13496
81	+	2689864	2703363	13499
82	-	1208706	1195210	13496
90	+	2818401	2831891	13490
91	-	1766816	1753303	13513
92	-	1301871	1288358	13513
95	-	1659221	1645711	13510
96	+	838528	852036	13508
99	+	2729925	2743421	13496
100	+	3077277	3090571	13294
102	-	1650582	1637086	13496
105	-	439195	425901	13294
106	-	190930	177434	13496
107	-	1299669	1286176	13493
108	+	2442480	2455993	13513
109	+	91851	105366	13515
110	+	3024453	3037747	13294
112	+	2278035	2291329	13294
114	+	3673870	3687366	13496
115	+	2670340	2683839	13499
118	+	2769760	2783254	13494
121	-	2441254	2427746	13508
123	-	2626144	2612850	13294
126	+	1990874	2004387	13513
128	-	2363189	2349694	13495
130	+	3430826	3444116	13290
132	+	2797207	2810501	13294
134	-	3688198	3674703	13495
135	-	1324300	1310792	13508
137	-	646670	633376	13294
142	+	1532668	1546153	13485
145	-	3654585	3641089	13496
147	-	1759182	1745686	13496
149	+	1423233	1436727	13494
151	+	3077333	3090627	13294
152	-	3072062	3058563	13499
155	+	2671833	2685332	13499
156	-	2558622	2545123	13499
165	-	2920948	2907449	13499
167	-	3249640	3236139	13501
169	-	2957251	2943756	13495
170	+	1424029	1437528	13499
171	+	2697777	2711276	13499
172	+	2700984	2714483	13499
175	+	615557	628851	13294
176	-	646739	633445	13294
177	-	1104678	1091168	13510
178	-	1803431	1789918	13513
182	-	3547288	3533792	13496
183	+	2672078	2685577	13499
185	+	2253861	2267360	13499
187	+	4070589	4084076	13487
189	+	2699169	2712668	13499
190	+	2947530	2960824	13294
192	+	2674650	2688149	13499
196	+	2703570	2717066	13496
197	+	2394153	2407447	13294
198	+	2947600	2960894	13294
202	-	80804	67317	13487
204	-	2164010	2150716	13294
205	+	2858412	2871911	13499
206	-	4159134	4145619	13515
210	-	2904059	2890572	13487
211	+	2963797	2977091	13294
212	+	3873737	3887236	13499
214	+	3354294	3367802	13508
216	+	2901832	2915330	13498
217	+	875031	888539	13508
220	+	2992589	3005883	13294
220	+	3042645	3055939	13294
220	+	3092701	3105995	13294
222	+	1466091	1479605	13514
223	-	2613281	2599785	13496
224	-	646669	633375	13294
--------------------------------------------------------------------------------
Block #333
Seq_id	Strand	Start	End	Length
8	+	886199	902947	16748
11	-	4072217	4055462	16755
12	+	3344689	3361444	16755
13	+	1064889	1081655	16766
17	+	933708	950434	16726
18	+	3033228	3049861	16633
20	-	1116768	1100135	16633
21	+	1062911	1079544	16633
25	-	2837335	2820653	16682
26	+	3007433	3024066	16633
30	+	1233309	1250023	16714
34	-	3169279	3152605	16674
35	+	2504404	2521070	16666
36	-	2075938	2059206	16732
37	-	2505196	2488470	16726
40	+	1682266	1698879	16613
41	-	1036915	1020230	16685
42	-	534316	517613	16703
43	+	3479878	3496509	16631
44	-	1184281	1167638	16643
45	+	3589230	3605915	16685
47	+	2486227	2502954	16727
51	-	2153788	2137155	16633
53	+	3898792	3915528	16736
56	+	3783850	3800574	16724
57	+	2995827	3012460	16633
58	+	2730203	2746931	16728
60	-	2548855	2532189	16666
63	+	2915216	2931924	16708
65	+	2701229	2717968	16739
67	+	3111667	3128334	16667
68	-	2225308	2208598	16710
70	+	1498551	1515299	16748
71	-	1634604	1617991	16613
74	+	2830169	2846908	16739
75	-	2152778	2136145	16633
76	+	1347550	1364281	16731
77	+	2745020	2761726	16706
78	+	2779455	2796129	16674
79	-	1318705	1302039	16666
81	+	2673211	2689860	16649
82	-	1225464	1208710	16754
90	+	2801692	2818388	16696
91	-	1783483	1766820	16663
92	-	1318535	1301875	16660
95	-	1675913	1659225	16688
96	+	821777	838524	16747
99	+	2713199	2729921	16722
100	+	3060640	3077273	16633
102	-	1667237	1650586	16651
105	-	455830	439199	16631
106	-	207625	190934	16691
107	-	1316306	1299673	16633
108	+	2425766	2442476	16710
109	+	75080	91847	16767
110	+	3007816	3024449	16633
112	+	2261398	2278031	16633
