mean_length,genomes,chroms
8783.543209876543,81,1
8056.098765432099,81,1
9840.555555555555,81,1
13235.25925925926,81,1
20894.037037037036,81,1
10003.67901234568,81,1
6665.419753086419,81,1
8438.962962962964,81,1
30212.0,81,1
41719.16049382716,81,1
9285.814814814816,81,1
3735.58024691358,81,1
4101.25,8,1
10044.666666666666,81,1
15467.20987654321,81,1
21981.345679012345,81,1
11287.987654320988,81,1
25483.382716049382,81,1
6530.16049382716,81,1
27257.493827160495,81,1
16208.024691358025,81,1
7895.308641975309,81,1
18609.493827160495,81,1
18865.395061728395,81,1
10011.32098765432,81,1
34032.666666666664,81,1
29845.037037037036,81,1
22713.925925925927,81,1
7512.950617283951,81,1
17509.382716049382,81,1
5467.9876543209875,81,1
30679.20987654321,81,1
18497.037037037036,81,1
8686.545454545454,11,1
3563.1666666666665,6,1
4737.222222222223,81,1
59081.17283950617,81,1
20055.703703703704,81,1
9489.938271604939,81,1
5250.6,80,1
5529.55,80,1
46877.01234567901,81,1
15285.333333333334,81,1
7940.83950617284,81,1
9022.925925925925,81,1
4388.83950617284,81,1
6950.592592592592,81,1
13854.691358024691,81,1
5028.901234567901,81,1
3275.9506172839506,81,1
5597.358024691358,81,1
51413.11111111111,81,1
7134.9876543209875,81,1
36399.148148148146,81,"1,2"
5159.814814814815,81,"1,2"
6142.950617283951,81,"1,2"
6275.308641975309,81,"1,2"
7868.481481481482,81,"1,2"
3558.2098765432097,81,1
23586.11111111111,81,1
9113.283950617284,81,1
28618.086419753086,81,1
14107.41975308642,81,1
9442.222222222223,81,1
4951.4375,80,1
50605.01234567901,81,1
4026.9,80,1
9638.617283950618,81,1
4672.185185185185,81,1
7736.0,81,1
21926.382716049382,81,1
35691.58024691358,81,1
6030.061728395061,81,1
7946.506172839506,81,1
21325.802469135804,81,1
3604.8024691358023,81,1
14591.567901234568,81,1
5108.0,81,1
30912.666666666668,81,1
8798.530864197532,81,1
3968.098765432099,81,1
8020.876543209876,81,1
14101.111111111111,81,1
16427.83950617284,81,1
16664.271604938273,81,1
7516.728395061728,81,1
8523.641975308641,81,1
4615.9876543209875,81,1
21073.20987654321,81,1
11864.851851851852,81,1
23527.024691358023,81,1
3608.283950617284,81,1
7675.802469135802,81,1
31672.30864197531,81,1
5269.061728395061,81,1
37894.69135802469,81,1
5424.05,20,1
3323.35,20,1
5307.5125,80,1
4985.383333333333,60,1
3099.45,60,1
18077.21518987342,79,1
4582.974683544304,79,1
13454.884615384615,52,1
8156.987341772152,79,1
5561.303797468355,79,1
10506.925925925925,81,1
24754.83950617284,81,1
22493.271604938273,81,1
5505.62962962963,81,1
7194.197530864198,81,1
5421.407407407408,81,1
21864.456790123455,81,1
40494.38271604938,81,1
3246.962962962963,81,1
30304.962962962964,81,1
39514.753086419754,81,1
10337.271604938273,81,1
3480.777777777778,81,1
17636.62962962963,81,1
3720.0,4,1
5282.5,4,1
5213.75,4,1
3131.0,3,1
8933.75,4,1
13454.37037037037,81,1
4694.259259259259,81,1
10838.234567901234,81,1
4948.0,81,1
4883.691358024691,81,1
25641.604938271605,81,1
54965.97530864197,81,1
9081.802469135802,81,1
4370.073170731707,81,1
37572.87654320987,81,1
15130.086419753086,81,1
47179.345679012345,81,1
14541.839506172839,81,1
4655.716049382716,81,1
3156.4691358024693,81,1
3759.962962962963,81,1
15802.234567901234,81,1
3252.753086419753,81,1
9768.271604938273,81,1
38443.38271604938,81,1
3461.185185185185,81,"1,2"
9819.506172839507,81,1
34885.18518518518,81,1
15681.567901234568,81,1
30300.061728395063,81,1
10190.765432098766,81,1
7019.419753086419,81,1
4890.5,2,1
5063.333333333333,3,1
4145.5,2,1
15755.5,2,1
5932.333333333333,3,1
3660.6666666666665,3,1
3907.6470588235293,17,1
3205.4333333333334,30,1
3447.6666666666665,3,1
10669.735294117647,34,1
3590.323529411765,34,1
5146.7692307692305,13,1
7203.5,4,1
7202.92,25,1
4344.666666666667,6,1
4073.75,4,1
8213.0,2,1
4147.0,2,1
6297.666666666667,3,1
15230.833333333334,12,1
3335.0,2,1
7744.2,5,1
4503.428571428572,7,1
3982.4285714285716,7,1
