block,chroms,mean_length,std_length,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
617,1,4507.0,16.0,0.0043179027,1,2,False
614,1,13162.5,13.5,0.0043179027,1,2,False
615,1,3466.0,3.0,0.0043179027,1,2,False
616,1,8032.0,3.0,0.0043179027,1,2,False
613,1,8472.5,0.5,0.0043179027,1,2,False
268,1,4073.75,0.4330127018922193,0.004297683,1,2,False
651,1,5540.0,10.0,0.00423822,1,2,False
620,1,4164.5,0.5,0.004216154999999999,1,2,False
559,2,7396.0,2.8284271247461903,0.004196515,1,2,False
635,1,4098.5,0.5,0.004188729600000001,1,2,False
604,2,4791.666666666667,10.842303978193728,0.004177263999999999,1,2,False
541,2,4005.0,0.0,0.004161318,1,2,False
522,2,4725.428571428572,1.0497813183356477,0.0041314483999999995,1,3,False
302,1,5148.0,28.284271247461902,0.004122368,1,2,False
445,2,3446.46835443038,49.22792133600862,0.0041026729,1,2,False
444,2,3888.987341772152,14.599717069294355,0.0041026729,1,2,False
422,2,7164.050632911392,22.260198194312107,0.004016234,1,2,False
60,1,5415.0,2.0,0.00394601,1,2,False
281,1,5178.333333333333,9.428090415820634,0.0038871200000000004,1,2,False
280,1,8017.333333333333,0.4714045207910317,0.0038871200000000004,1,2,False
607,2,4543.0,4.0,0.003873792,1,2,False
636,1,4157.5,1.5,0.003873792,1,2,False
637,1,4446.0,0.0,0.0038130800000000004,1,2,False
634,1,7269.0,0.0,0.0037940733,1,2,False
638,1,4228.0,0.0,0.0037784840000000004,1,3,False
456,2,3139.0,0.0,0.0037690410000000003,1,2,False
550,2,6198.5,455.5,0.0037309333,1,2,False
554,2,3601.5,19.5,0.0037309333,1,2,False
662,1,7718.0,0.0,0.0037218079999999996,1,2,False
664,1,10136.0,620.0,0.00372052,1,2,False
663,1,3289.0,0.0,0.00372052,1,2,False
308,1,3625.0,0.0,0.0037174610000000005,1,2,False
590,1,10064.0,1.0,0.0036288590000000003,1,2,False
523,2,7773.0,2.0,0.003591238,1,2,False
658,1,6870.5,0.5,0.003591238,1,2,False
537,2,16697.0,0.0,0.0035060559999999996,1,2,False
567,2,4678.5,1.118033988749895,0.003367429,1,2,False
254,1,5063.333333333333,663.7375652737726,0.003366937,1,2,False
304,1,6001.5,0.5,0.0033657493000000004,1,2,False
305,1,3797.0,1.0,0.003315559,1,2,False
649,1,3119.3333333333335,3.6817870057290873,0.0033008078,1,3,False
650,1,5308.333333333333,0.9428090415820634,0.0033008078,1,3,False
641,1,16839.0,620.0,0.003215107,1,2,False
404,2,3715.9333333333334,3.2097074979228593,0.0032041444,1,3,False
594,1,6903.0,7.0710678118654755,0.0032020910000000002,1,2,False
529,1,6044.0,0.0,0.0030398703,1,2,False
595,1,4857.0,0.0,0.0029592439999999998,1,2,False
596,1,5088.0,0.0,0.0029592439999999998,1,2,False
