block,chroms,mean_length,std_length,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
226,2,8087.388888888889,14.426591531261863,0.000235993,1,2,False
67,1,16021.620689655172,105.34979953276294,0.00023132519999999999,1,2,False
170,2,18599.074074074073,32.873411439919295,0.00020530290000000002,1,2,False
174,2,50864.666666666664,25.033311140691453,0.00020530290000000002,1,2,False
173,2,6103.37037037037,4.243933780927768,0.00020530290000000002,1,2,False
172,2,3576.222222222222,2.9355210696939795,0.00020530290000000002,1,2,False
2,1,7051.2692307692305,6.560708758075154,0.00017997490000000002,1,2,False
199,2,35819.51724137931,25.390224414886287,0.0001776639,1,2,False
187,2,12201.588235294117,63.07610606013455,0.000109575,1,2,False
102,1,53264.26666666667,48.526922653535564,9.34539e-05,1,2,False
103,1,14086.133333333333,4.991548412622635,9.34539e-05,1,2,False
138,1,19812.96551724138,9.04960566342511,5.1489999999999997e-05,1,2,False
158,2,26853.133333333335,651.6574116989864,0,0,0,True
6,1,34655.48387096774,617.6984268346876,0,0,0,True
89,1,43871.1935483871,544.4144779755075,0,0,0,True
154,2,46191.23333333333,484.0178841966712,0,0,0,True
77,1,41630.290322580644,432.3125507306615,0,0,0,True
128,1,99806.29032258065,325.36492599485564,0,0,0,True
235,2,29951.1935483871,323.5368473161595,0,0,0,True
88,1,12443.290322580646,321.1054689107802,0,0,0,True
185,2,13962.4375,318.1177000635928,0,0,0,True
91,1,60806.903225806454,311.8450147355264,0,0,0,True
116,1,7451.451612903225,305.485635448118,0,0,0,True
135,1,47552.8064516129,242.7521528232287,0,0,0,True
63,1,52778.58064516129,234.07164249207673,0,0,0,True
101,1,22845.3125,221.1400062036492,0,0,0,True
29,1,35875.45161290323,220.18757966637,0,0,0,True
38,1,10217.272727272728,203.229721151284,0,0,0,True
160,2,34883.54838709677,198.98254725051086,0,0,0,True
209,2,24220.0,172.52096646775354,0,0,0,True
200,2,59410.354838709674,149.04958005743111,0,0,0,True
175,2,59485.34482758621,139.637529749797,0,0,0,True
186,2,52148.5,138.4076858415023,0,0,0,True
90,1,29935.41935483871,137.39600740631684,0,0,0,True
164,2,10111.483870967742,133.82098561685763,0,0,0,True
213,2,40873.166666666664,132.525238686406,0,0,0,True
153,2,57864.4,130.4861678493165,0,0,0,True
168,2,34079.0,110.0345986643556,0,0,0,True
5,1,58590.290322580644,109.72787264583148,0,0,0,True
1,1,22936.935483870966,97.43680681108174,0,0,0,True
127,1,35094.74193548387,96.33977764944356,0,0,0,True
75,1,23827.322580645163,95.6240579449356,0,0,0,True
11,1,5200.774193548387,88.68200154790816,0,0,0,True
69,1,25888.16129032258,81.8563244740416,0,0,0,True
210,2,48537.16129032258,79.5528214759645,0,0,0,True
171,2,7549.931034482759,77.8796290634963,0,0,0,True
33,1,18062.545454545456,74.06675568377936,0,0,0,True
148,2,36027.06451612903,73.34493648941853,0,0,0,True
214,2,61161.9,67.94377577575938,0,0,0,True
87,1,74027.41935483871,65.46891613757576,0,0,0,True
40,1,35470.74193548387,61.426046667168215,0,0,0,True
92,1,40311.67741935484,60.93062532928485,0,0,0,True
17,1,31870.1935483871,59.580479242481644,0,0,0,True
236,2,74737.58064516129,59.082104814073666,0,0,0,True
118,1,67285.25806451614,57.43774623910739,0,0,0,True
145,1,60703.41935483871,57.36176887628227,0,0,0,True
72,1,39234.83870967742,56.086394632309855,0,0,0,True
167,2,40783.032258064515,55.42066917965262,0,0,0,True
129,1,29828.1935483871,55.01402715838153,0,0,0,True
