mean_length,genomes,chroms
29813.612903225807,31,1
74027.41935483871,31,1
12443.290322580646,31,1
43871.1935483871,31,1
29935.41935483871,31,1
60806.903225806454,31,1
40311.67741935484,31,1
9566.870967741936,31,1
51512.76666666667,30,1
3910.0666666666666,30,1
18024.96875,31,1
6747.0,31,1
15787.935483870968,31,1
29567.90322580645,31,1
3762.0,31,1
22845.3125,31,1
53264.26666666667,15,1
14086.133333333333,15,1
5706.285714285715,14,1
3419.214285714286,14,1
13436.387096774193,31,1
10995.967741935483,31,1
8707.838709677419,31,1
29612.708333333332,24,1
4330.375,24,1
106284.87096774194,31,1
28242.516129032258,31,1
15304.322580645161,31,1
20717.1935483871,31,1
3868.8064516129034,31,1
7451.451612903225,31,1
26709.225806451614,31,1
67285.25806451614,31,1
16727.129032258064,31,1
7281.419354838709,31,1
24930.483870967742,31,1
65012.354838709674,31,1
24160.83870967742,31,1
32310.709677419356,31,1
41962.967741935485,31,1
8701.935483870968,31,1
35094.74193548387,31,1
99806.29032258065,31,1
29828.1935483871,31,1
19189.870967741936,31,1
12317.0,27,1
10065.387096774193,31,1
19036.709677419356,31,1
3541.1666666666665,30,1
47552.8064516129,31,1
5824.967741935484,31,1
5179.935483870968,31,1
19812.96551724138,29,1
16612.625,30,1
13623.21875,30,1
3693.78125,31,"1,2"
12274.424242424242,30,1
10104.96,25,1
7820.90625,31,1
60703.41935483871,31,1
10552.483870967742,31,1
18170.58064516129,31,2
36027.06451612903,31,2
4696.5,30,2
20609.55172413793,29,2
11741.777777777777,27,2
49677.46428571428,28,2
57864.4,30,2
46191.23333333333,30,2
19928.41935483871,31,2
9270.65,20,2
5498.5,30,2
26853.133333333335,30,2
21012.16129032258,31,2
34883.54838709677,31,2
10655.133333333333,30,2
33488.25806451613,31,2
13617.064516129032,31,2
10111.483870967742,31,2
33707.137931034486,29,2
19054.58064516129,31,2
40783.032258064515,31,2
34079.0,31,2
32025.74193548387,31,2
18599.074074074073,27,2
7549.931034482759,29,2
3576.222222222222,27,2
6103.37037037037,27,2
50864.666666666664,27,2
59485.34482758621,29,2
3460.689655172414,29,2
4240.615384615385,26,2
3896.1923076923076,26,2
9495.115384615385,26,2
19373.846153846152,26,2
35618.88461538462,26,2
28436.23076923077,26,2
20089.41935483871,31,2
5929.56,31,2
13962.4375,31,2
52148.5,31,2
12201.588235294117,17,2
6152.571428571428,14,2
25656.071428571428,14,2
29788.0,26,2
13812.25925925926,27,2
7870.0,27,2
23219.185185185186,27,2
3914.3636363636365,11,2
5524.333333333333,6,2
9866.481481481482,27,2
5225.444444444444,27,2
6930.666666666667,30,2
35819.51724137931,29,2
59410.354838709674,31,2
5373.451612903225,31,2
33050.875,31,2
17369.6875,31,2
24192.1875,31,2
7912.03125,31,2
61691.541666666664,24,2
10131.75,24,2
21804.5,24,2
24220.0,31,2
48537.16129032258,31,2
7249.5161290322585,31,2
25027.90322580645,31,2
40873.166666666664,30,2
61161.9,30,2
6716.6,29,2
7625.482758620689,29,2
7497.551724137931,29,2
39766.65517241379,29,2
7993.9655172413795,29,2
19856.761904761905,21,2
24762.85714285714,21,2
17301.619047619046,21,2
24901.105263157893,19,2
39924.32258064516,31,2
